massa
t	x	y
1.769726667E1	3.637713585E0	1.550280953E0
1.773060000E1	3.649926952E0	1.551806817E0
1.776393333E1	3.674386512E0	1.552728320E0
1.779726667E1	3.695704656E0	1.552116865E0
1.783058889E1	3.723613125E0	1.550415857E0
1.786392222E1	3.765081250E0	1.547533272E0
1.789724444E1	3.793120601E0	1.546593345E0
1.793057778E1	3.818293915E0	1.545743098E0
1.796390000E1	3.822096257E0	1.545921325E0
1.799722222E1	3.839612077E0	1.549062216E0
1.803055556E1	3.873614340E0	1.549118164E0
1.806387778E1	3.872655320E0	1.545233585E0
1.809721111E1	3.844638364E0	1.543126883E0
1.813053333E1	3.821860587E0	1.544621363E0
1.816386667E1	3.798122563E0	1.545589758E0
1.819718889E1	3.786451511E0	1.551409579E0
1.823052222E1	3.795388744E0	1.548810517E0
1.826384444E1	3.772795291E0	1.540531706E0
1.829717778E1	3.722221055E0	1.547574220E0
1.833050000E1	3.699558082E0	1.557655698E0
1.836383333E1	3.707467624E0	1.556626492E0
1.839716667E1	3.719122048E0	1.553410591E0
1.843048889E1	3.707325242E0	1.553252479E0
1.846381111E1	3.685492889E0	1.543349735E0
1.849714444E1	3.691745340E0	1.537197758E0
1.853046667E1	3.704942469E0	1.544863971E0
1.856380000E1	3.726914321E0	1.534013001E0
1.859712222E1	3.742859366E0	1.519776267E0
1.863045556E1	3.749203239E0	1.519934112E0
1.866381111E1	3.770533205E0	1.522094311E0
1.869711111E1	3.796237430E0	1.521091774E0
1.873045556E1	3.821294749E0	1.512711692E0
1.876377778E1	3.822522971E0	1.519575468E0
1.879710000E1	3.819177547E0	1.519818901E0
1.883043333E1	3.826028756E0	1.520365781E0
1.886376667E1	3.845750190E0	1.523414262E0
1.889707778E1	3.846979420E0	1.522024710E0
1.893041111E1	3.822864837E0	1.520283112E0
1.896374444E1	3.778988122E0	1.524292333E0
1.899706667E1	3.743391098E0	1.524947399E0
1.903038889E1	3.727532860E0	1.521745618E0
1.906372222E1	3.725696425E0	1.521742382E0
1.909705556E1	3.716976986E0	1.521749005E0
1.913037778E1	3.677876456E0	1.509388616E0
1.916371111E1	3.648749860E0	1.520079766E0
1.919703333E1	3.647341301E0	1.524850681E0
1.923036667E1	3.646806435E0	1.517272545E0
1.926368889E1	3.649843202E0	1.523611324E0
